,mouse.sex,cell_ontology_class
0,M,astrocyte
1,M,astrocyte
2,M,astrocyte
3,M,astrocyte
4,M,astrocyte
5,M,astrocyte
6,M,astrocyte
7,F,astrocyte
8,M,astrocyte
9,M,astrocyte
10,M,astrocyte
11,M,astrocyte
12,M,astrocyte
13,M,astrocyte
14,M,astrocyte
15,M,astrocyte
16,M,astrocyte
17,F,astrocyte
18,M,astrocyte
19,M,astrocyte
20,M,astrocyte
21,M,astrocyte
22,M,astrocyte
23,M,astrocyte
24,M,astrocyte
25,M,astrocyte
26,F,astrocyte
27,M,astrocyte
28,M,astrocyte
29,M,astrocyte
30,M,astrocyte
31,M,astrocyte
32,M,astrocyte
33,M,astrocyte
34,M,astrocyte
35,M,astrocyte
36,M,astrocyte
37,M,astrocyte
38,M,astrocyte
39,M,astrocyte
40,M,astrocyte
41,M,astrocyte
42,M,astrocyte
43,M,astrocyte
44,F,astrocyte
45,M,astrocyte
46,M,astrocyte
47,M,astrocyte
48,F,astrocyte
49,M,astrocyte
50,F,astrocyte
51,M,astrocyte
52,F,astrocyte
53,M,astrocyte
54,M,astrocyte
55,M,astrocyte
56,M,astrocyte
57,F,astrocyte
58,M,astrocyte
59,M,astrocyte
60,M,astrocyte
61,M,astrocyte
62,M,astrocyte
63,M,astrocyte
64,M,astrocyte
65,M,astrocyte
66,M,astrocyte
67,M,astrocyte
68,M,astrocyte
69,M,astrocyte
70,M,astrocyte
71,M,astrocyte
72,M,astrocyte
73,M,astrocyte
74,M,astrocyte
75,F,astrocyte
76,M,astrocyte
77,F,astrocyte
78,M,astrocyte
79,M,astrocyte
80,M,astrocyte
81,M,astrocyte
82,M,astrocyte
83,M,astrocyte
84,M,astrocyte
85,F,astrocyte
86,M,astrocyte
87,M,astrocyte
88,M,astrocyte
89,M,astrocyte
90,M,astrocyte
91,M,astrocyte
92,M,astrocyte
93,M,astrocyte
94,M,astrocyte
95,M,astrocyte
96,M,astrocyte
97,M,astrocyte
98,M,astrocyte
99,M,astrocyte
100,M,oligodendrocyte
101,M,oligodendrocyte
102,M,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,M,oligodendrocyte
106,M,oligodendrocyte
107,M,oligodendrocyte
108,M,oligodendrocyte
109,M,oligodendrocyte
110,M,oligodendrocyte
111,M,oligodendrocyte
112,M,oligodendrocyte
113,M,oligodendrocyte
114,M,oligodendrocyte
115,M,oligodendrocyte
116,M,oligodendrocyte
117,M,oligodendrocyte
118,F,oligodendrocyte
119,F,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,F,oligodendrocyte
123,M,oligodendrocyte
124,M,oligodendrocyte
125,M,oligodendrocyte
126,M,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,M,oligodendrocyte
130,M,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,F,oligodendrocyte
137,M,oligodendrocyte
138,F,oligodendrocyte
139,M,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,M,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,F,oligodendrocyte
148,M,oligodendrocyte
149,M,oligodendrocyte
150,F,oligodendrocyte
151,M,oligodendrocyte
152,F,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,M,oligodendrocyte
156,M,oligodendrocyte
157,F,oligodendrocyte
158,F,oligodendrocyte
159,M,oligodendrocyte
160,F,oligodendrocyte
161,M,oligodendrocyte
162,F,oligodendrocyte
163,M,oligodendrocyte
164,M,oligodendrocyte
165,M,oligodendrocyte
166,M,oligodendrocyte
167,M,oligodendrocyte
168,M,oligodendrocyte
169,M,oligodendrocyte
170,M,oligodendrocyte
171,M,oligodendrocyte
172,M,oligodendrocyte
173,M,oligodendrocyte
174,M,oligodendrocyte
175,M,oligodendrocyte
176,M,oligodendrocyte
177,M,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,M,oligodendrocyte
181,F,oligodendrocyte
182,M,oligodendrocyte
183,M,oligodendrocyte
184,M,oligodendrocyte
185,M,oligodendrocyte
186,M,oligodendrocyte
187,M,oligodendrocyte
188,M,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,F,oligodendrocyte
192,M,oligodendrocyte
193,M,oligodendrocyte
194,M,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,M,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
