,mouse.sex,cell_ontology_class
0,M,endothelial cell
1,F,endothelial cell
2,F,endothelial cell
3,F,endothelial cell
4,F,endothelial cell
5,F,endothelial cell
6,F,endothelial cell
7,M,endothelial cell
8,F,endothelial cell
9,F,endothelial cell
10,M,endothelial cell
11,F,endothelial cell
12,F,endothelial cell
13,F,endothelial cell
14,F,endothelial cell
15,F,endothelial cell
16,F,endothelial cell
17,F,endothelial cell
18,F,endothelial cell
19,F,endothelial cell
20,F,endothelial cell
21,F,endothelial cell
22,F,endothelial cell
23,F,endothelial cell
24,M,endothelial cell
25,F,endothelial cell
26,F,endothelial cell
27,F,endothelial cell
28,F,endothelial cell
29,M,endothelial cell
30,F,endothelial cell
31,F,endothelial cell
32,F,endothelial cell
33,F,endothelial cell
34,F,endothelial cell
35,F,endothelial cell
36,F,endothelial cell
37,F,endothelial cell
38,F,endothelial cell
39,F,endothelial cell
40,F,endothelial cell
41,M,endothelial cell
42,F,endothelial cell
43,F,endothelial cell
44,F,endothelial cell
45,M,endothelial cell
46,F,endothelial cell
47,F,endothelial cell
48,F,endothelial cell
49,F,endothelial cell
50,F,endothelial cell
51,F,endothelial cell
52,F,endothelial cell
53,F,endothelial cell
54,F,endothelial cell
55,F,endothelial cell
56,F,endothelial cell
57,F,endothelial cell
58,M,endothelial cell
59,F,endothelial cell
60,M,endothelial cell
61,F,endothelial cell
62,M,endothelial cell
63,F,endothelial cell
64,F,endothelial cell
65,F,endothelial cell
66,F,endothelial cell
67,F,endothelial cell
68,F,endothelial cell
69,F,endothelial cell
70,F,endothelial cell
71,F,endothelial cell
72,M,endothelial cell
73,F,endothelial cell
74,F,endothelial cell
75,F,endothelial cell
76,M,endothelial cell
77,F,endothelial cell
78,F,endothelial cell
79,F,endothelial cell
80,M,endothelial cell
81,F,endothelial cell
82,F,endothelial cell
83,M,endothelial cell
84,M,endothelial cell
85,M,endothelial cell
86,M,endothelial cell
87,M,endothelial cell
88,M,endothelial cell
89,M,endothelial cell
90,M,endothelial cell
91,M,endothelial cell
92,M,endothelial cell
93,M,endothelial cell
94,M,endothelial cell
95,M,endothelial cell
96,M,endothelial cell
97,M,endothelial cell
98,M,endothelial cell
99,M,endothelial cell
100,M,neuron
101,M,neuron
102,M,neuron
103,M,neuron
104,M,neuron
105,M,neuron
106,M,neuron
107,M,neuron
108,F,neuron
109,F,neuron
110,M,neuron
111,M,neuron
112,M,neuron
113,M,neuron
114,M,neuron
115,M,neuron
116,F,neuron
117,M,neuron
118,M,neuron
119,F,neuron
120,F,neuron
121,M,neuron
122,M,neuron
123,M,neuron
124,M,neuron
125,M,neuron
126,M,neuron
127,M,neuron
128,M,neuron
129,F,neuron
130,M,neuron
131,M,neuron
132,M,neuron
133,M,neuron
134,M,neuron
135,M,neuron
136,M,neuron
137,M,neuron
138,F,neuron
139,F,neuron
140,M,neuron
141,M,neuron
142,M,neuron
143,M,neuron
144,M,neuron
145,M,neuron
146,M,neuron
147,M,neuron
148,M,neuron
149,M,neuron
150,F,neuron
151,F,neuron
152,M,neuron
153,M,neuron
154,M,neuron
155,M,neuron
156,F,neuron
157,M,neuron
158,M,neuron
159,M,neuron
160,M,neuron
161,M,neuron
162,M,neuron
163,F,neuron
164,M,neuron
165,M,neuron
166,M,neuron
167,M,neuron
168,M,neuron
169,M,neuron
170,M,neuron
171,M,neuron
172,M,neuron
173,M,neuron
174,M,neuron
175,M,neuron
176,M,neuron
177,M,neuron
178,M,neuron
179,M,neuron
180,M,neuron
181,M,neuron
182,M,neuron
183,M,neuron
184,M,neuron
185,M,neuron
186,M,neuron
187,M,neuron
188,M,neuron
189,M,neuron
190,M,neuron
191,M,neuron
192,M,neuron
193,M,neuron
194,M,neuron
195,M,neuron
196,M,neuron
197,M,neuron
198,M,neuron
199,M,neuron
