,mouse.sex,cell_ontology_class
0,F,endothelial cell
1,M,endothelial cell
2,F,endothelial cell
3,M,endothelial cell
4,M,endothelial cell
5,M,endothelial cell
6,M,endothelial cell
7,F,endothelial cell
8,M,endothelial cell
9,M,endothelial cell
10,M,endothelial cell
11,M,endothelial cell
12,M,endothelial cell
13,F,endothelial cell
14,M,endothelial cell
15,F,endothelial cell
16,F,endothelial cell
17,F,endothelial cell
18,F,endothelial cell
19,M,endothelial cell
20,F,endothelial cell
21,M,endothelial cell
22,M,endothelial cell
23,F,endothelial cell
24,M,endothelial cell
25,M,endothelial cell
26,F,endothelial cell
27,M,endothelial cell
28,M,endothelial cell
29,F,endothelial cell
30,F,endothelial cell
31,F,endothelial cell
32,F,endothelial cell
33,F,endothelial cell
34,F,endothelial cell
35,F,endothelial cell
36,M,endothelial cell
37,M,endothelial cell
38,M,endothelial cell
39,M,endothelial cell
40,M,endothelial cell
41,M,endothelial cell
42,M,endothelial cell
43,M,endothelial cell
44,F,endothelial cell
45,M,endothelial cell
46,M,endothelial cell
47,F,endothelial cell
48,F,endothelial cell
49,F,endothelial cell
50,F,endothelial cell
51,F,endothelial cell
52,F,endothelial cell
53,M,endothelial cell
54,F,endothelial cell
55,M,endothelial cell
56,M,endothelial cell
57,M,endothelial cell
58,M,endothelial cell
59,M,endothelial cell
60,M,endothelial cell
61,F,endothelial cell
62,F,endothelial cell
63,F,endothelial cell
64,F,endothelial cell
65,M,endothelial cell
66,M,endothelial cell
67,M,endothelial cell
68,M,endothelial cell
69,M,endothelial cell
70,M,endothelial cell
71,M,endothelial cell
72,F,endothelial cell
73,F,endothelial cell
74,F,endothelial cell
75,M,endothelial cell
76,M,endothelial cell
77,M,endothelial cell
78,M,endothelial cell
79,M,endothelial cell
80,M,endothelial cell
81,M,endothelial cell
82,M,endothelial cell
83,M,endothelial cell
84,M,endothelial cell
85,F,endothelial cell
86,M,endothelial cell
87,M,endothelial cell
88,M,endothelial cell
89,M,endothelial cell
90,M,endothelial cell
91,M,endothelial cell
92,M,endothelial cell
93,F,endothelial cell
94,M,endothelial cell
95,M,endothelial cell
96,F,endothelial cell
97,M,endothelial cell
98,M,endothelial cell
99,M,endothelial cell
100,M,neuron
101,M,neuron
102,M,neuron
103,M,neuron
104,M,neuron
105,M,neuron
106,F,neuron
107,M,neuron
108,M,neuron
109,M,neuron
110,F,neuron
111,M,neuron
112,M,neuron
113,M,neuron
114,F,neuron
115,F,neuron
116,M,neuron
117,M,neuron
118,F,neuron
119,M,neuron
120,M,neuron
121,M,neuron
122,M,neuron
123,M,neuron
124,M,neuron
125,M,neuron
126,M,neuron
127,M,neuron
128,M,neuron
129,M,neuron
130,M,neuron
131,M,neuron
132,M,neuron
133,M,neuron
134,F,neuron
135,M,neuron
136,M,neuron
137,M,neuron
138,F,neuron
139,M,neuron
140,F,neuron
141,M,neuron
142,F,neuron
143,F,neuron
144,M,neuron
145,M,neuron
146,M,neuron
147,M,neuron
148,M,neuron
149,M,neuron
150,M,neuron
151,M,neuron
152,M,neuron
153,M,neuron
154,F,neuron
155,F,neuron
156,F,neuron
157,M,neuron
158,M,neuron
159,M,neuron
160,M,neuron
161,M,neuron
162,M,neuron
163,M,neuron
164,M,neuron
165,M,neuron
166,M,neuron
167,M,neuron
168,M,neuron
169,M,neuron
170,M,neuron
171,M,neuron
172,M,neuron
173,M,neuron
174,M,neuron
175,M,neuron
176,M,neuron
177,M,neuron
178,M,neuron
179,M,neuron
180,F,neuron
181,M,neuron
182,M,neuron
183,M,neuron
184,M,neuron
185,M,neuron
186,M,neuron
187,M,neuron
188,M,neuron
189,M,neuron
190,M,neuron
191,M,neuron
192,M,neuron
193,M,neuron
194,M,neuron
195,M,neuron
196,M,neuron
197,M,neuron
198,F,neuron
199,F,neuron
